text,category
You have been selected for a prize,Spam
Biggest sale of the year,Promotion
John liked your photo,Social
Your interview is scheduled for tomorrow,Important
You have been selected for a prize,Spam
Exclusive deal only for today,Promotion
New follower added,Social
Project deadline is tomorrow,Important
Limited time lottery offer,Spam
Buy 1 get 1 free deal,Promotion
You have a new friend request,Social
Please review the attached document,Important
Congratulations! You won $1000,Spam
Exclusive deal only for today,Promotion
Sarah tagged you in a post,Social
Submit your assignment today,Important
Claim your reward now,Spam
Flat 50% OFF on all items,Promotion
New follower added,Social
Meeting at 10 AM tomorrow,Important
You have been selected for a prize,Spam
Limited time offer on products,Promotion
Your friend shared a post,Social
Team meeting rescheduled,Important
Click here to get rich,Spam
Exclusive deal only for today,Promotion
Someone mentioned you in a comment,Social
Please review the attached document,Important
Earn money fast online,Spam
Shop now and save big,Promotion
Someone commented on your post,Social
Important notice regarding your account,Important
Congratulations! You won $1000,Spam
Flat 50% OFF on all items,Promotion
John liked your photo,Social
Please review the attached document,Important
Click here to get rich,Spam
Limited time offer on products,Promotion
John liked your photo,Social
Your interview is scheduled for tomorrow,Important
Win a free iPhone now!!!,Spam
Mega sale live now,Promotion
Your friend shared a post,Social
Your interview is scheduled for tomorrow,Important
Congratulations! You won $1000,Spam
Shop now and save big,Promotion
John liked your photo,Social
Team meeting rescheduled,Important
Free vacation offer click now,Spam
Shop now and save big,Promotion
You have a new message,Social
Submit your assignment today,Important
Claim your reward now,Spam
Limited time offer on products,Promotion
Sarah tagged you in a post,Social
Update your account information,Important
Click here to get rich,Spam
Special discount just for you,Promotion
Sarah tagged you in a post,Social
Your interview is scheduled for tomorrow,Important
Congratulations! You won $1000,Spam
Limited time offer on products,Promotion
John liked your photo,Social
Team meeting rescheduled,Important
Win a free iPhone now!!!,Spam
Biggest sale of the year,Promotion
Sarah tagged you in a post,Social
Meeting at 10 AM tomorrow,Important
You have been selected for a prize,Spam
Special discount just for you,Promotion
You have a new friend request,Social
Update your account information,Important
Congratulations! You won $1000,Spam
Mega sale live now,Promotion
Someone mentioned you in a comment,Social
Submit your assignment today,Important
Win a free iPhone now!!!,Spam
Limited time offer on products,Promotion
Someone mentioned you in a comment,Social
Important notice regarding your account,Important
Free vacation offer click now,Spam
Flat 50% OFF on all items,Promotion
You have a new friend request,Social
Please review the attached document,Important
Congratulations! You won $1000,Spam
Limited time offer on products,Promotion
New follower added,Social
Please review the attached document,Important
Claim your reward now,Spam
Exclusive deal only for today,Promotion
Sarah tagged you in a post,Social
Please review the attached document,Important
You have been selected for a prize,Spam
Mega sale live now,Promotion
Someone commented on your post,Social
Project deadline is tomorrow,Important
Limited time lottery offer,Spam
Shop now and save big,Promotion
Someone mentioned you in a comment,Social
Project deadline is tomorrow,Important
Congratulations! You won $1000,Spam
Buy 1 get 1 free deal,Promotion
John liked your photo,Social
Meeting at 10 AM tomorrow,Important
Free vacation offer click now,Spam
Buy 1 get 1 free deal,Promotion
Someone commented on your post,Social
Please review the attached document,Important
Limited time lottery offer,Spam
Buy 1 get 1 free deal,Promotion
You have a new friend request,Social
Important notice regarding your account,Important
Click here to get rich,Spam
Biggest sale of the year,Promotion
New follower added,Social
Update your account information,Important
Congratulations! You won $1000,Spam
Limited time offer on products,Promotion
You have a new friend request,Social
Update your account information,Important
Win a free iPhone now!!!,Spam
Exclusive deal only for today,Promotion
Someone commented on your post,Social
Your interview is scheduled for tomorrow,Important
Claim your reward now,Spam
Buy 1 get 1 free deal,Promotion
Someone mentioned you in a comment,Social
Project deadline is tomorrow,Important
Limited time lottery offer,Spam
Shop now and save big,Promotion
Someone commented on your post,Social
Please review the attached document,Important
Free vacation offer click now,Spam
Shop now and save big,Promotion
Someone mentioned you in a comment,Social
Team meeting rescheduled,Important
Earn money fast online,Spam
Exclusive deal only for today,Promotion
Someone commented on your post,Social
Team meeting rescheduled,Important
Click here to get rich,Spam
Special discount just for you,Promotion
John liked your photo,Social
Please review the attached document,Important
Free vacation offer click now,Spam
Shop now and save big,Promotion
Sarah tagged you in a post,Social
Your interview is scheduled for tomorrow,Important
Click here to get rich,Spam
Mega sale live now,Promotion
John liked your photo,Social
Important notice regarding your account,Important
You have been selected for a prize,Spam
Shop now and save big,Promotion
Your friend shared a post,Social
Team meeting rescheduled,Important
Earn money fast online,Spam
Exclusive deal only for today,Promotion
Sarah tagged you in a post,Social
Submit your assignment today,Important
